,search_mode,precision,recall,f1_score
0,vector,1.0,0.13043478260869565,0.23076923076923078
1,keyword,0.0,0.0,0.0
2,vector,0.0,0.0,0.0
3,keyword,0.0,0.0,0.0
4,vector,1.0,0.13636363636363635,0.24000000000000002
5,keyword,0.0,0.0,0.0
6,vector,0.3333333333333333,0.25,0.28571428571428575
7,keyword,0.0,0.0,0.0
8,vector,0.16666666666666666,0.041666666666666664,0.06666666666666667
9,keyword,0.0,0.0,0.0
10,vector,0.0,0.0,0.0
11,keyword,0.0,0.0,0.0
12,vector,0.0,0.0,0.0
13,keyword,0.0,0.0,0.0
14,vector,0.0,0.0,0.0
15,keyword,0.0,0.0,0.0
16,vector,0.16666666666666666,0.029411764705882353,0.05
17,keyword,0.0,0.0,0.0
18,vector,0.16666666666666666,0.038461538461538464,0.0625
19,keyword,0.0,0.0,0.0
20,vector,0.5,0.023622047244094488,0.04511278195488722
21,keyword,0.0,0.0,0.0
22,vector,0.3333333333333333,0.15384615384615385,0.21052631578947367
23,keyword,0.0,0.0,0.0
24,vector,0.6666666666666666,0.04395604395604396,0.08247422680412372
25,keyword,0.0,0.0,0.0
26,vector,0.0,0.0,0.0
27,keyword,0.0,0.0,0.0
28,vector,0.5,0.036585365853658534,0.06818181818181818
29,keyword,0.0,0.0,0.0
30,vector,0.16666666666666666,0.038461538461538464,0.0625
31,keyword,0.0,0.0,0.0
32,vector,0.0,0.0,0.0
33,keyword,0.0,0.0,0.0
34,vector,0.16666666666666666,0.09090909090909091,0.11764705882352942
35,keyword,0.0,0.0,0.0
36,vector,0.5,0.037037037037037035,0.06896551724137931
37,keyword,0.0,0.0,0.0
38,vector,0.8333333333333334,0.034722222222222224,0.06666666666666668
39,keyword,0.0,0.0,0.0
40,vector,0.3333333333333333,0.08,0.12903225806451613
41,keyword,0.0,0.0,0.0
42,vector,0.6666666666666666,0.07547169811320754,0.13559322033898305
43,keyword,0.0,0.0,0.0
44,vector,0.6666666666666666,0.08333333333333333,0.14814814814814814
45,keyword,0.0,0.0,0.0
46,vector,0.3333333333333333,0.038461538461538464,0.06896551724137931
47,keyword,0.0,0.0,0.0
48,vector,0.5,0.09090909090909091,0.15384615384615385
49,keyword,0.0,0.0,0.0
50,vector,1.0,0.10714285714285714,0.19354838709677416
51,keyword,0.0,0.0,0.0
52,vector,1.0,0.05217391304347826,0.09917355371900827
53,keyword,0.3333333333333333,0.008695652173913044,0.01694915254237288
54,vector,0.8333333333333334,0.08333333333333333,0.15151515151515152
55,keyword,0.0,0.0,0.0
56,vector,0.16666666666666666,0.020833333333333332,0.037037037037037035
57,keyword,0.0,0.0,0.0
58,vector,0.8333333333333334,0.03731343283582089,0.07142857142857142
59,keyword,0.0,0.0,0.0
60,vector,0.16666666666666666,0.01639344262295082,0.02985074626865672
61,keyword,1.0,0.01639344262295082,0.03225806451612903
62,vector,0.5,0.02564102564102564,0.048780487804878044
63,keyword,0.0,0.0,0.0
64,vector,0.0,0.0,0.0
65,keyword,0.0,0.0,0.0
66,vector,0.0,0.0,0.0
67,keyword,0.0,0.0,0.0
68,vector,0.5,0.06976744186046512,0.12244897959183673
69,keyword,0.0,0.0,0.0
70,vector,0.0,0.0,0.0
71,keyword,0.0,0.0,0.0
72,vector,0.16666666666666666,0.025,0.04347826086956522
73,keyword,0.0,0.0,0.0
74,vector,0.0,0.0,0.0
75,keyword,0.0,0.0,0.0
76,vector,0.0,0.0,0.0
77,keyword,0.0,0.0,0.0
78,vector,0.0,0.0,0.0
79,keyword,0.0,0.0,0.0
80,vector,0.16666666666666666,0.09090909090909091,0.11764705882352942
81,keyword,0.0,0.0,0.0
82,vector,0.5,0.06,0.10714285714285712
83,keyword,0.0,0.0,0.0
84,vector,0.16666666666666666,0.07692307692307693,0.10526315789473684
85,keyword,0.0,0.0,0.0
86,vector,0.8333333333333334,0.03225806451612903,0.062111801242236024
87,keyword,0.0,0.0,0.0
88,vector,0.3333333333333333,0.025974025974025976,0.04819277108433735
89,keyword,0.0,0.0,0.0
90,vector,0.8333333333333334,0.04310344827586207,0.0819672131147541
91,keyword,0.0,0.0,0.0
92,vector,0.0,0.0,0.0
93,keyword,0.0,0.0,0.0
94,vector,0.0,0.0,0.0
95,keyword,0.0,0.0,0.0
96,vector,0.0,0.0,0.0
97,keyword,0.0,0.0,0.0
98,vector,0.6666666666666666,0.0449438202247191,0.08421052631578947
99,keyword,0.0,0.0,0.0
100,vector,0.0,0.0,0.0
101,keyword,0.0,0.0,0.0
102,vector,1.0,0.4,0.5714285714285715
103,keyword,0.0,0.0,0.0
104,vector,0.0,0.0,0.0
105,keyword,0.0,0.0,0.0
106,vector,0.3333333333333333,0.0392156862745098,0.07017543859649122
107,keyword,0.0,0.0,0.0
108,vector,0.8333333333333334,0.2777777777777778,0.4166666666666667
109,keyword,0.0,0.0,0.0
110,vector,0.16666666666666666,0.022222222222222223,0.0392156862745098
111,keyword,0.0,0.0,0.0
112,vector,0.16666666666666666,0.05555555555555555,0.08333333333333333
113,keyword,0.0,0.0,0.0
114,vector,0.8333333333333334,0.10869565217391304,0.1923076923076923
115,keyword,0.0,0.0,0.0
116,vector,0.0,0.0,0.0
117,keyword,0.0,0.0,0.0
118,vector,0.0,0.0,0.0
119,keyword,0.0,0.0,0.0
120,vector,0.0,0.0,0.0
121,keyword,0.0,0.0,0.0
122,vector,0.5,0.25,0.3333333333333333
123,keyword,0.0,0.0,0.0
124,vector,0.0,0.0,0.0
125,keyword,0.0,0.0,0.0
126,vector,0.0,0.0,0.0
127,keyword,0.0,0.0,0.0
128,vector,0.5,0.23076923076923078,0.3157894736842105
129,keyword,0.0,0.0,0.0
130,vector,0.6666666666666666,0.11428571428571428,0.19512195121951217
131,keyword,0.0,0.0,0.0
132,vector,0.3333333333333333,0.0625,0.10526315789473684
133,keyword,0.0,0.0,0.0
134,vector,0.0,0.0,0.0
135,keyword,0.0,0.0,0.0
136,vector,0.6666666666666666,0.26666666666666666,0.3809523809523809
137,keyword,0.0,0.0,0.0
138,vector,0.0,0.0,0.0
139,keyword,0.0,0.0,0.0
140,vector,0.8333333333333334,0.18518518518518517,0.303030303030303
141,keyword,0.0,0.0,0.0
142,vector,0.0,0.0,0.0
143,keyword,0.0,0.0,0.0
144,vector,0.0,0.0,0.0
145,keyword,0.0,0.0,0.0
146,vector,0.0,0.0,0.0
147,keyword,0.0,0.0,0.0
148,vector,0.0,0.0,0.0
149,keyword,0.0,0.0,0.0
150,vector,0.8333333333333334,0.08333333333333333,0.15151515151515152
151,keyword,0.0,0.0,0.0
152,vector,0.0,0.0,0.0
153,keyword,0.0,0.0,0.0
154,vector,0.0,0.0,0.0
155,keyword,0.0,0.0,0.0
156,vector,0.3333333333333333,0.18181818181818182,0.23529411764705885
157,keyword,0.0,0.0,0.0
158,vector,0.0,0.0,0.0
159,keyword,0.0,0.0,0.0
160,vector,0.16666666666666666,0.09090909090909091,0.11764705882352942
161,keyword,0.0,0.0,0.0
162,vector,0.16666666666666666,0.1,0.125
163,keyword,0.0,0.0,0.0
164,vector,0.0,0.0,0.0
165,keyword,0.0,0.0,0.0
166,vector,0.16666666666666666,0.09090909090909091,0.11764705882352942
167,keyword,0.0,0.0,0.0
168,vector,0.0,0.0,0.0
169,keyword,0.0,0.0,0.0
170,vector,0.0,0.0,0.0
171,keyword,0.0,0.0,0.0
172,vector,0.0,0.0,0.0
173,keyword,0.0,0.0,0.0
174,vector,0.0,0.0,0.0
175,keyword,0.0,0.0,0.0
176,vector,0.0,0.0,0.0
177,keyword,0.0,0.0,0.0
178,vector,0.5,0.04285714285714286,0.07894736842105264
179,keyword,0.0,0.0,0.0
180,vector,0.0,0.0,0.0
181,keyword,0.0,0.0,0.0
182,vector,0.5,0.07894736842105263,0.13636363636363635
183,keyword,0.0,0.0,0.0
184,vector,0.0,0.0,0.0
185,keyword,0.0,0.0,0.0
186,vector,0.0,0.0,0.0
187,keyword,0.0,0.0,0.0
188,vector,0.5,0.2727272727272727,0.3529411764705882
189,keyword,0.0,0.0,0.0
190,vector,0.3333333333333333,0.2222222222222222,0.26666666666666666
191,keyword,0.0,0.0,0.0
192,vector,0.16666666666666666,0.16666666666666666,0.16666666666666666
193,keyword,0.0,0.0,0.0
194,vector,0.8333333333333334,0.1724137931034483,0.28571428571428575
195,keyword,0.0,0.0,0.0
196,vector,0.6666666666666666,0.11764705882352941,0.2
197,keyword,0.0,0.0,0.0
198,vector,0.0,0.0,0.0
199,keyword,0.0,0.0,0.0
200,vector,0.0,0.0,0.0
201,keyword,0.0,0.0,0.0
202,vector,1.0,0.25,0.4
203,keyword,0.0,0.0,0.0
204,vector,0.0,0.0,0.0
205,keyword,0.0,0.0,0.0
206,vector,0.16666666666666666,0.09090909090909091,0.11764705882352942
207,keyword,0.0,0.0,0.0
208,vector,0.0,0.0,0.0
209,keyword,0.0,0.0,0.0
210,vector,0.0,0.0,0.0
211,keyword,0.0,0.0,0.0
212,vector,0.0,0.0,0.0
213,keyword,0.0,0.0,0.0
214,vector,0.0,0.0,0.0
215,keyword,0.0,0.0,0.0
216,vector,0.8333333333333334,0.07042253521126761,0.12987012987012989
217,keyword,0.0,0.0,0.0
218,vector,0.0,0.0,0.0
219,keyword,0.0,0.0,0.0
220,vector,0.3333333333333333,0.3333333333333333,0.3333333333333333
221,keyword,0.0,0.0,0.0
222,vector,0.0,0.0,0.0
223,keyword,0.0,0.0,0.0
